TREE_ID;CIVIC_NUMBER;STD_STREET;GENUS_NAME;SPECIES_NAME;CULTIVAR_NAME;COMMON_NAME;ON_STREET_BLOCK;ON_STREET;NEIGHBOURHOOD_NAME;STREET_SIDE_NAME;HEIGHT_RANGE_ID;HEIGHT_RANGE;DIAMETER;DATE_PLANTED;Geom;geo_point_2d
117043;5925;VINE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;5900;VINE ST;KERRISDALE;ODD;3;30-40;10.0;;"{""coordinates"": [-123.16009899996001, 49.23268299881301], ""type"": ""Point""}";49.23268299881301, -123.16009899996001
117048;6001;VINE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;6000;VINE ST;KERRISDALE;ODD;3;30-40;13.5;;"{""coordinates"": [-123.16011599939957, 49.23204199927236], ""type"": ""Point""}";49.23204199927236, -123.16011599939957
117057;6118;VINE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2200;W 45TH AV;KERRISDALE;EVEN;2;20-30;11.5;;"{""coordinates"": [-123.1597890006337, 49.2308669992512], ""type"": ""Point""}";49.2308669992512, -123.1597890006337
117059;6125;VINE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;6100;VINE ST;KERRISDALE;ODD;2;20-30;22.5;;"{""coordinates"": [-123.1601620002533, 49.230371998851744], ""type"": ""Point""}";49.230371998851744, -123.1601620002533
117063;6144;VINE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;6100;VINE ST;KERRISDALE;EVEN;3;30-40;25.0;;"{""coordinates"": [-123.16000900062795, 49.23033299873445], ""type"": ""Point""}";49.23033299873445, -123.16000900062795
117085;6363;VINE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;6300;VINE ST;KERRISDALE;ODD;2;20-30;16.0;;"{""coordinates"": [-123.16023299935242, 49.22846399895224], ""type"": ""Point""}";49.22846399895224, -123.16023299935242
117144;6309;VIVIAN ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;6300;VIVIAN ST;VICTORIA-FRASERVIEW;ODD;3;30-40;24.0;;"{""coordinates"": [-123.0503289999581, 49.22639199863647], ""type"": ""Point""}";49.22639199863647, -123.0503289999581
117146;6309;VIVIAN ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;6300;VIVIAN ST;VICTORIA-FRASERVIEW;ODD;3;30-40;15.5;;"{""coordinates"": [-123.05031500017465, 49.226630998958974], ""type"": ""Point""}";49.226630998958974, -123.05031500017465
117150;6368;VIVIAN ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;6300;VIVIAN ST;KILLARNEY;EVEN;3;30-40;22.5;;"{""coordinates"": [-123.05015799973641, 49.22627799868999], ""type"": ""Point""}";49.22627799868999, -123.05015799973641
117151;6375;VIVIAN ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;6300;VIVIAN ST;VICTORIA-FRASERVIEW;ODD;3;30-40;25.0;;"{""coordinates"": [-123.05034400017395, 49.22607799896244], ""type"": ""Point""}";49.22607799896244, -123.05034400017395
